date,room_type,country,bookings,adr,revenue
2023-01-01,Suite,Germany,93,58.21,5413.53
2023-01-02,Standard,Germany,93,100.28,9326.04
2023-01-03,Suite,UK,36,170.43,6135.4800000000005
2023-01-04,Suite,Germany,97,50.69,4916.929999999999
2023-01-05,Standard,Germany,92,100.02,9201.84
2023-01-06,Standard,Germany,20,109.73,2194.6
2023-01-07,Suite,Egypt,70,130.61,9142.7
2023-01-08,Deluxe,Egypt,64,187.98,12030.72
2023-01-09,Suite,Egypt,96,101.95,9787.2
2023-01-10,Suite,UK,23,102.04,2346.92
2023-01-11,Suite,Italy,81,160.63,13011.029999999999
2023-01-12,Suite,Germany,84,117.83,9897.72
2023-01-13,Standard,Germany,51,83.69,4268.19
2023-01-14,Suite,UK,53,117.87,6247.110000000001
2023-01-15,Deluxe,Germany,91,71.13,6472.83
2023-01-16,Standard,Egypt,58,76.46,4434.679999999999
2023-01-17,Deluxe,Italy,45,124.76,5614.2
2023-01-18,Deluxe,Saudi Arabia,53,112.84,5980.52
2023-01-19,Deluxe,Germany,73,187.23,13667.789999999999
2023-01-20,Deluxe,Egypt,22,104.36,2295.92
2023-01-21,Standard,Saudi Arabia,69,137.09,9459.210000000001
2023-01-22,Standard,Italy,31,144.84,4490.04
2023-01-23,Deluxe,Saudi Arabia,84,51.96,4364.64
2023-01-24,Deluxe,Egypt,73,149.53,10915.69
2023-01-25,Standard,Saudi Arabia,24,76.71,1841.04
2023-01-26,Standard,UK,76,194.16,14756.16
2023-01-27,Standard,Saudi Arabia,36,72.3,2602.7999999999997
2023-01-28,Suite,Germany,66,112.19,7404.54
2023-01-29,Suite,Germany,42,62.8,2637.6
2023-01-30,Suite,UK,98,199.53,19553.94
2023-01-31,Deluxe,Egypt,33,125.33,4135.89
2023-02-01,Suite,Germany,85,139.31,11841.35
2023-02-02,Deluxe,Italy,94,60.06,5645.64
2023-02-03,Deluxe,Germany,70,162.49,11374.300000000001
2023-02-04,Suite,Germany,57,81.49,4644.929999999999
2023-02-05,Deluxe,Egypt,83,184.71,15330.93
2023-02-06,Suite,Saudi Arabia,57,80.77,4603.889999999999
2023-02-07,Suite,Germany,69,78.6,5423.4
2023-02-08,Standard,UK,49,55.48,2718.52
2023-02-09,Suite,Saudi Arabia,98,120.81,11839.380000000001
2023-02-10,Standard,Italy,70,134.73,9431.099999999999
2023-02-11,Suite,Egypt,82,59.86,4908.5199999999995
2023-02-12,Suite,Italy,71,166.33,11809.43
2023-02-13,Standard,Saudi Arabia,57,117.99,6725.429999999999
2023-02-14,Standard,Saudi Arabia,98,128.66,12608.68
2023-02-15,Suite,Saudi Arabia,49,116.11,5689.39
2023-02-16,Deluxe,Italy,70,110.11,7707.7
2023-02-17,Standard,Saudi Arabia,24,133.95,3214.7999999999997
2023-02-18,Deluxe,Italy,48,73.29,3517.92
2023-02-19,Deluxe,Saudi Arabia,23,77.29,1777.67
2023-02-20,Deluxe,UK,29,179.27,5198.83
2023-02-21,Standard,Saudi Arabia,75,191.92,14393.999999999998
2023-02-22,Deluxe,Italy,36,106.0,3816.0
2023-02-23,Standard,Germany,93,90.61,8426.73
2023-02-24,Deluxe,Saudi Arabia,36,146.6,5277.599999999999
2023-02-25,Suite,Germany,88,111.31,9795.28
2023-02-26,Suite,UK,53,53.81,2851.9300000000003
2023-02-27,Standard,Egypt,25,73.42,1835.5
2023-02-28,Suite,UK,72,157.4,11332.800000000001
2023-03-01,Suite,Saudi Arabia,85,148.84,12651.4
2023-03-02,Deluxe,Germany,96,54.06,5189.76
2023-03-03,Standard,Germany,62,83.3,5164.599999999999
2023-03-04,Deluxe,Italy,94,84.66,7958.04
2023-03-05,Deluxe,Germany,42,150.78,6332.76
2023-03-06,Deluxe,Italy,74,52.96,3919.04
2023-03-07,Deluxe,Egypt,99,65.62,6496.38
2023-03-08,Deluxe,Saudi Arabia,94,169.99,15979.060000000001
2023-03-09,Deluxe,Italy,35,76.78,2687.3
2023-03-10,Deluxe,Egypt,27,147.91,3993.5699999999997
2023-03-11,Standard,Germany,23,85.73,1971.7900000000002
2023-03-12,Suite,Germany,23,64.92,1493.16
2023-03-13,Deluxe,Egypt,75,86.48,6486.0
2023-03-14,Deluxe,Germany,44,158.34,6966.96
2023-03-15,Deluxe,Egypt,86,178.35,15338.1
2023-03-16,Deluxe,Italy,86,174.53,15009.58
2023-03-17,Deluxe,Italy,46,109.58,5040.68
2023-03-18,Deluxe,Egypt,51,150.21,7660.71
2023-03-19,Suite,Italy,69,80.75,5571.75
2023-03-20,Suite,Italy,80,93.97,7517.6
2023-03-21,Deluxe,Italy,70,184.45,12911.5
2023-03-22,Suite,UK,38,51.95,1974.1000000000001
2023-03-23,Standard,Saudi Arabia,40,62.83,2513.2
2023-03-24,Deluxe,Germany,24,81.18,1948.3200000000002
2023-03-25,Standard,UK,61,53.98,3292.7799999999997
2023-03-26,Standard,Italy,80,77.22,6177.6
2023-03-27,Deluxe,Egypt,41,137.46,5635.860000000001
2023-03-28,Suite,Italy,40,113.21,4528.4
2023-03-29,Standard,Saudi Arabia,89,183.9,16367.1
2023-03-30,Deluxe,Italy,20,172.62,3452.4
2023-03-31,Standard,Egypt,24,101.27,2430.48
2023-04-01,Standard,Saudi Arabia,31,88.91,2756.21
2023-04-02,Standard,Italy,65,106.95,6951.75
2023-04-03,Standard,Saudi Arabia,53,138.54,7342.62
2023-04-04,Suite,Germany,68,90.21,6134.28
2023-04-05,Standard,Germany,97,143.62,13931.140000000001
2023-04-06,Standard,Italy,64,111.41,7130.24
2023-04-07,Standard,Saudi Arabia,46,132.81,6109.26
2023-04-08,Suite,Egypt,92,115.42,10618.64
2023-04-09,Standard,Italy,45,94.17,4237.65
2023-04-10,Standard,Germany,66,192.27,12689.820000000002
2023-04-11,Suite,Germany,75,164.54,12340.5
2023-04-12,Suite,Italy,82,71.02,5823.639999999999
2023-04-13,Suite,Saudi Arabia,67,180.27,12078.09
2023-04-14,Standard,Germany,80,123.11,9848.8
2023-04-15,Suite,Saudi Arabia,45,184.18,8288.1
2023-04-16,Suite,Germany,55,169.98,9348.9
2023-04-17,Standard,Germany,20,113.78,2275.6
2023-04-18,Suite,UK,27,53.37,1440.99
2023-04-19,Standard,Germany,71,90.3,6411.3
2023-04-20,Deluxe,Egypt,98,131.25,12862.5
2023-04-21,Suite,Italy,66,145.02,9571.320000000002
2023-04-22,Deluxe,Italy,75,88.68,6651.000000000001
2023-04-23,Standard,Saudi Arabia,33,70.9,2339.7000000000003
2023-04-24,Suite,Germany,47,175.24,8236.28
2023-04-25,Standard,Egypt,97,197.66,19173.02
2023-04-26,Deluxe,Saudi Arabia,21,128.85,2705.85
2023-04-27,Standard,UK,45,75.75,3408.75
2023-04-28,Suite,Saudi Arabia,33,90.85,2998.0499999999997
2023-04-29,Suite,Saudi Arabia,78,52.76,4115.28
2023-04-30,Deluxe,Germany,75,187.14,14035.499999999998
2023-05-01,Standard,UK,26,67.66,1759.1599999999999
2023-05-02,Suite,Saudi Arabia,22,136.48,3002.56
2023-05-03,Deluxe,Egypt,42,91.11,3826.62
2023-05-04,Suite,Egypt,37,133.13,4925.8099999999995
2023-05-05,Suite,Italy,57,147.71,8419.470000000001
2023-05-06,Standard,UK,34,174.46,5931.64
2023-05-07,Suite,UK,83,80.96,6719.679999999999
2023-05-08,Standard,Italy,47,51.65,2427.5499999999997
2023-05-09,Suite,Saudi Arabia,93,70.53,6559.29
2023-05-10,Deluxe,UK,58,185.0,10730.0
2023-05-11,Suite,Egypt,76,181.08,13762.080000000002
2023-05-12,Standard,Egypt,36,139.61,5025.960000000001
2023-05-13,Standard,Germany,63,140.08,8825.04
2023-05-14,Deluxe,UK,44,149.76,6589.44
2023-05-15,Suite,Saudi Arabia,36,76.31,2747.16
2023-05-16,Suite,Italy,32,187.16,5989.12
2023-05-17,Deluxe,Italy,44,112.82,4964.08
2023-05-18,Suite,Saudi Arabia,87,107.47,9349.89
2023-05-19,Suite,Germany,29,127.84,3707.36
2023-05-20,Standard,Italy,86,57.04,4905.44
2023-05-21,Suite,UK,37,74.94,2772.7799999999997
2023-05-22,Suite,Germany,53,160.71,8517.630000000001
2023-05-23,Deluxe,UK,27,62.42,1685.3400000000001
2023-05-24,Deluxe,Egypt,59,140.47,8287.73
2023-05-25,Standard,Germany,61,86.8,5294.8
2023-05-26,Suite,Italy,60,108.39,6503.4
2023-05-27,Suite,Germany,25,93.3,2332.5
2023-05-28,Suite,Germany,71,103.35,7337.849999999999
2023-05-29,Standard,Germany,45,157.86,7103.700000000001
2023-05-30,Standard,Germany,83,94.57,7849.3099999999995
2023-05-31,Deluxe,UK,78,134.96,10526.880000000001
2023-06-01,Standard,Egypt,75,121.41,9105.75
2023-06-02,Suite,Saudi Arabia,78,149.55,11664.900000000001
2023-06-03,Suite,Germany,89,190.52,16956.280000000002
2023-06-04,Standard,Italy,52,159.89,8314.279999999999
2023-06-05,Suite,Germany,72,82.24,5921.28
2023-06-06,Suite,Italy,41,54.68,2241.88
2023-06-07,Standard,UK,40,89.34,3573.6000000000004
2023-06-08,Standard,Italy,89,139.26,12394.14
2023-06-09,Suite,Saudi Arabia,89,57.71,5136.1900000000005
2023-06-10,Suite,Egypt,23,124.45,2862.35
2023-06-11,Suite,Italy,94,139.53,13115.82
2023-06-12,Deluxe,Italy,81,100.14,8111.34
2023-06-13,Deluxe,Egypt,81,165.64,13416.839999999998
2023-06-14,Deluxe,Saudi Arabia,43,65.99,2837.5699999999997
2023-06-15,Standard,Germany,74,61.27,4533.9800000000005
2023-06-16,Deluxe,Italy,28,159.23,4458.44
2023-06-17,Standard,Egypt,22,124.32,2735.04
2023-06-18,Standard,UK,50,153.26,7663.0
2023-06-19,Deluxe,Egypt,59,115.22,6797.98
2023-06-20,Deluxe,UK,55,86.96,4782.799999999999
2023-06-21,Deluxe,Saudi Arabia,43,172.87,7433.41
2023-06-22,Suite,Germany,25,169.91,4247.75
2023-06-23,Deluxe,Egypt,85,154.2,13106.999999999998
2023-06-24,Suite,Italy,94,90.82,8537.08
2023-06-25,Standard,Saudi Arabia,23,138.53,3186.19
2023-06-26,Suite,Egypt,98,104.15,10206.7
2023-06-27,Deluxe,Italy,25,63.74,1593.5
2023-06-28,Standard,Egypt,70,187.6,13132.0
2023-06-29,Standard,UK,81,70.52,5712.12
2023-06-30,Standard,Egypt,76,192.54,14633.039999999999
2023-07-01,Suite,Egypt,85,116.9,9936.5
2023-07-02,Deluxe,Egypt,98,77.77,7621.46
2023-07-03,Standard,Saudi Arabia,94,131.29,12341.259999999998
2023-07-04,Standard,Egypt,27,180.94,4885.38
2023-07-05,Standard,Italy,45,159.83,7192.35
2023-07-06,Suite,UK,70,170.98,11968.599999999999
2023-07-07,Suite,UK,64,148.82,9524.48
2023-07-08,Deluxe,Egypt,63,153.84,9691.92
2023-07-09,Suite,Saudi Arabia,24,177.38,4257.12
2023-07-10,Standard,Saudi Arabia,89,87.45,7783.05
2023-07-11,Deluxe,Italy,45,123.41,5553.45
2023-07-12,Standard,Egypt,87,83.18,7236.660000000001
2023-07-13,Standard,UK,38,198.15,7529.7
2023-07-14,Suite,Saudi Arabia,39,191.61,7472.790000000001
2023-07-15,Deluxe,Egypt,31,55.91,1733.2099999999998
2023-07-16,Suite,Saudi Arabia,66,155.84,10285.44
2023-07-17,Suite,Saudi Arabia,20,188.79,3775.7999999999997
2023-07-18,Deluxe,UK,33,77.09,2543.9700000000003
2023-07-19,Standard,Germany,83,135.19,11220.77
2023-07-20,Standard,Italy,57,187.32,10677.24
2023-07-21,Deluxe,Italy,56,55.09,3085.04
2023-07-22,Standard,UK,30,154.61,4638.3
2023-07-23,Deluxe,Saudi Arabia,96,94.6,9081.599999999999
2023-07-24,Deluxe,Egypt,22,188.66,4150.5199999999995
2023-07-25,Suite,Saudi Arabia,52,195.66,10174.32
2023-07-26,Deluxe,UK,25,191.64,4791.0
